"sub_col","emmean","SE","df","lower.CL","upper.CL"
"Acc_B_1",0.0728579069591351,0.0646279665999549,680.650826163465,-0.0540362219795563,0.199752035897826
"Acc_B_2",0.330742370596911,0.0412978499474818,909.961534405033,0.249692267585757,0.411792473608065
"Acc_B_3",0.158126492755454,0.0820510449306941,437.313899630355,-0.00313691120036677,0.319389896711275
"Acc_Ku_1",0.308501143199697,0.0587181823070892,572.397108454996,0.193171759426846,0.423830526972549
"Acc_Ku_2",0.181535019107462,0.0453970687213776,825.820899589034,0.0924278027043132,0.270642235510611
"Aci_B_1",0.304849448153043,0.0370276542357984,637.935315232376,0.232138628602052,0.377560267704033
"Aci_B_2",0.245665297534595,0.037593368997168,710.892441963023,0.171857987718,0.319472607351189
"Ack_Ka_1",0.245004951399578,0.0560030991158003,412.092182559749,0.134917570915282,0.355092331883875
"Ack_Ka_2",0.195747359672489,0.0510497633973529,816.732372969132,0.0955431672062068,0.29595155213877
"Ack_Ka_3",0.311563021218614,0.0754072224123229,920.839611616076,0.163573065434202,0.459552977003026
